site_id,latitude,longitude
1,45.78522491455078,15.956059455871582
2,45.78831481933594,15.969278335571289
5,20.987485885620117,105.86540222167969
6,43.68468475341797,22.29271697998047
7,43.64108657836914,22.281789779663086
8,43.3778190612793,22.250673294067383
9,43.58436584472656,22.242704391479492
13,43.52540588378906,22.290668487548828
14,43.40869140625,22.441631317138672
15,42.94926452636719,22.305925369262695
17,45.80368423461914,15.922181129455566
18,45.80368423461914,15.922181129455566
19,45.80368423461914,15.922181129455566
20,45.80368423461914,15.922181129455566
21,45.80368423461914,15.922181129455566
22,45.80368423461914,15.922181129455566
23,43.44881820678711,17.177839279174805
24,42.405941009521484,21.87386131286621
26,42.88285446166992,21.88479232788086
27,43.2028923034668,20.474924087524414
29,42.88285446166992,21.88479232788086
31,43.346923828125,20.568344116210938
32,43.38310623168945,21.036062240600586
33,43.49223709106445,20.6104736328125
34,45.80368423461914,15.922181129455566
35,45.785213470458984,15.956100463867188
37,43.61573028564453,19.918094635009766
38,43.53450393676758,20.226259231567383
39,43.46348571777344,20.370058059692383
41,44.20811462402344,19.399810791015625
42,43.565391540527344,19.424110412597656
43,43.42859649658203,21.114641189575195
44,44.0,44.0
45,45.623138427734375,16.6239013671875
47,44.88153076171875,18.811479568481445
48,45.80368423461914,15.922181129455566
49,45.80368423461914,15.922181129455566
50,45.70233154296875,16.393280029296875
51,20.997201919555664,105.86421203613281
52,45.80368423461914,15.922181129455566
53,21.003326416015625,105.86139678955078
54,20.984264373779297,105.86509704589844
55,20.984216690063477,105.86507415771484
57,14.014874458312988,108.67991638183594
62,13.893199920654297,121.74500274658203
63,46.19585418701172,16.723854064941406
65,45.0,21.0
69,31.0,74.0
70,45.60359573364258,15.635284423828125
71,45.0,23.0
73,45.7992057800293,16.546466827392578
74,41.3613166809082,48.51571273803711
75,13.996060371398926,121.20394134521484
77,45.54802703857422,15.857535362243652
78,16.124914169311523,120.09963989257812
82,48.444271087646484,-123.52000427246094
83,43.0,21.0
84,43.0,21.0
85,43.72431945800781,15.858513832092285
86,42.987388610839844,17.527528762817383
87,42.99663543701172,17.522926330566406
88,42.99161148071289,17.526596069335938
89,42.98720169067383,17.529796600341797
90,44.55127716064453,15.322564125061035
91,43.0,21.0
93,43.0,21.0
94,43.0,21.0
95,43.0,21.0
96,43.0,21.0
97,43.0,21.0
98,45.79069900512695,15.987539291381836
99,43.0,21.0
100,43.0,21.0
101,48.444271087646484,-123.52000427246094
104,44.88676452636719,13.790240287780762
109,44.96611785888672,14.11819839477539
110,42.0,21.0
